,point,boot_mean,ci_2_5,ci_97_5,share_gt_0,n_boot
delta_accuracy,0.11834319526627218,0.11880637552693091,0.00603960662321707,0.2346730158730158,0.9786,5000.0
delta_balanced_accuracy,0.11700823261516902,0.11714389775837562,0.005232830658750832,0.23612682136034233,0.9796,5000.0
delta_roc_auc,0.19400945874934317,0.19502169801425254,0.040666670825396746,0.3553661409150285,0.9944,5000.0
